title,overview,genres
Get Out,"A young man visits his white girlfriends family estate, only to discover a series of increasingly disturbing secrets hidden beneath their friendly hospitality.",Horror Mystery Thriller
Superbad,"Two inseparable high school best friends are about to be separated for college, so they plan one last night of debauchery to buy alcohol for a party.",Comedy
The Hangover,"Three friends wake up from a wild bachelor party in Las Vegas with no memory of the previous night and must find the missing groom before the wedding.",Comedy
Bridesmaids,"Competition between the maid of honor and a new bridesmaid threatens to upend the life of a woman trying to plan her best friends wedding.",Comedy Romance
Deadpool,"A wisecracking mercenary gets experimented on and acquires accelerated healing powers, adopting the alter ego Deadpool to hunt down the man who ruined his life.",Action Comedy Scifi
The Shawshank Redemption,"A banker wrongly convicted of murder forms a friendship with a fellow inmate over years of imprisonment while secretly planning his escape from Shawshank prison.",Drama Crime
Forrest Gump,"A slow witted but kind hearted man from Alabama witnesses and unwittingly influences several defining historical events in the twentieth century United States.",Drama Romance Comedy
The Godfather,"The aging patriarch of an organized crime family transfers control of his empire to his reluctant son, drawing him deeper into the criminal underworld.",Crime Drama
Fight Club,"An insomniac office worker forms an underground fight club with a soap salesman, which evolves into something much more dangerous and destructive.",Drama Thriller
Parasite,"A poor family schemes to become employed by a wealthy household by posing as unrelated, highly qualified individuals, leading to unexpected consequences.",Drama Thriller Comedy
Se7en,"Two detectives, one nearing retirement and one new to the job, hunt a serial killer who uses the seven deadly sins as his motives for a string of murders.",Crime Drama Mystery
Gone Girl,"A man becomes the prime suspect in his wifes disappearance on their fifth wedding anniversary as the media and police scrutinize their seemingly perfect marriage.",Drama Mystery Thriller
Shutter Island,"A US marshal investigates the disappearance of a patient from a hospital for the criminally insane, uncovering disturbing truths about the island and himself.",Mystery Thriller Drama
Prisoners,"When two young girls go missing, the desperate father takes matters into his own hands as the police pursue multiple leads in a race against time.",Crime Drama Thriller
The Fellowship of the Ring,"A young hobbit inherits a powerful ring and must journey with a fellowship of companions to destroy it in the fires of Mount Doom before dark forces claim it.",Adventure Fantasy Action
Harry Potter and the Sorcerers Stone,"An orphaned boy discovers on his eleventh birthday that he is a wizard and is invited to attend a magical school where he learns about his mysterious past.",Adventure Fantasy Family
Pans Labyrinth,"In fascist Spain, a young girl escapes into a mysterious fantasy world filled with strange creatures while her family faces the harsh realities of war.",Fantasy Drama War
